MONTH,PROJECTS,CHAIN,SYMBOL,AVG_APY,AVG_BASE_APY,AVG_REWARD_APY,AVG_TVL_USD,POOL_COUNT
2025-10-01T00:00:00.000Z,ethena-usde,Ethereum,SUSDE,5.2618875,5.2618875,,5883948090.25,4
2025-10-01T00:00:00.000Z,maple,Ethereum,USDC,9.077655,6.877655,2.2,2790609816.5,4
2025-10-01T00:00:00.000Z,sky-lending,Ethereum,SUSDS,4.75,,,2262427899.5,4
2025-10-01T00:00:00.000Z,aave-v3,Plasma,USDT0,2.6669625,2.6669625,,1464524743.5,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,USDC,3.458211667,,3.458211667,1082751697.5,6
2025-10-01T00:00:00.000Z,aave-v3,Plasma,SUSDE,0,0,,1069739595.5,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,AETHUSDE-USDE-AETHSUSDE,5.25,,5.25,1039497692.5,4
2025-10-01T00:00:00.000Z,aave-v3,Ethereum,USDT,4.6123725,4.6123725,,932586196.25,4
2025-10-01T00:00:00.000Z,aave-v3,Plasma,USDE,0.11709,0.11709,,854080994.25,4
2025-10-01T00:00:00.000Z,aave-v3,Ethereum,SUSDE,0,0,,707315328.5,8
2025-10-01T00:00:00.000Z,maple,Ethereum,USDT,8.964015,6.764015,2.2,697435407.25,4
2025-10-01T00:00:00.000Z,morpho-blue,Base,SPARKUSDC,6.7782025,6.7782025,0,670208075.25,4
2025-10-01T00:00:00.000Z,merkl,Base,USDC-SPARKUSDC,0.26717,,0.26717,669785764.75,4
2025-10-01T00:00:00.000Z,aave-v3,Ethereum,USDC,4.19984375,4.19984375,,643467554.125,8
2025-10-01T00:00:00.000Z,sky-lending,Ethereum,DAI,1.5,,,494405063,4
2025-10-01T00:00:00.000Z,usual,Ethereum,USD0++,4.8021525,,4.8021525,492247395.25,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,STEAKUSDC,0.3517525,,0.3517525,438260869.5,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,STEAKUSDC,5.60433,5.23983,0.364495,438259521.25,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,AETHRLUSD,8.6151875,,8.6151875,417422200,4
2025-10-01T00:00:00.000Z,aave-v3,Ethereum,USDE,2.758525,2.758525,,365673003.75,4
2025-10-01T00:00:00.000Z,aave-v3,Ethereum,RLUSD,0.8099875,0.8099875,,317117353.25,4
2025-10-01T00:00:00.000Z,kamino-lend,Solana,PYUSD,0.1759875,0.1759875,,311510918.75,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,USUALUSDC+-USDC,0.3533225,,0.3533225,309292631,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,USUALUSDC+,7.724275,7.724275,0,309291869.75,4
2025-10-01T00:00:00.000Z,merkl,Base,USDC,6.596118571,,6.596118571,309060369.428571,7
2025-10-01T00:00:00.000Z,justlend,Tron,USDD,5.033783333,0.001586666667,5.032193333,284811797.666667,3
2025-10-01T00:00:00.000Z,fluid-lending,Ethereum,USDT,7.3475,4.6575,2.69,277277520.75,4
2025-10-01T00:00:00.000Z,sparklend,Ethereum,PYUSD,1.2456925,1.2456925,,261730613.25,4
2025-10-01T00:00:00.000Z,reservoir-protocol,Ethereum,SRUSD,9.5,,,238488631.5,4
2025-10-01T00:00:00.000Z,stables-labs-usdx,BSC,USDX,8.9879575,8.9879575,,236054798.75,4
